iter	RMSE
0	0.8328105838
1	0.7183984258
2	0.6380779889
3	0.5805199578
4	0.5424267539
5	0.5149222932
6	0.4927320284
7	0.4702437604
8	0.4570917726
9	0.4485428191
10	0.4322278406
11	0.419538245
12	0.4114356499
13	0.4048789955
14	0.4006565029
15	0.3957902155
16	0.3917705138
17	0.3891328619
18	0.3856317926
19	0.3830419493
20	0.3797569426
21	0.3764217834
22	0.3735255969
23	0.3657887564
24	0.3619659959
25	0.3596229784
26	0.3572743473
27	0.3509508109
28	0.348039672
29	0.3408652883
30	0.3345648663
31	0.3325524287
32	0.331348952
33	0.3280089326
34	0.3258803909
35	0.3200894226
36	0.3185958568
37	0.3135200047
38	0.309452777
39	0.3055629381
40	0.3030553876
41	0.2999657927
42	0.2960512474
43	0.2936697606
44	0.2909946052
45	0.2894235955
46	0.2870515779
47	0.2854230492
48	0.2800218621
49	0.2781773883
50	0.2744701135
51	0.2730658185
52	0.2722500087
53	0.2689535705
54	0.2656788533
55	0.2616016161
56	0.2603702975
57	0.2581892248
58	0.2551789224
59	0.2531919559
60	0.2510168543
61	0.2488346429
62	0.24727812
63	0.2468057627
64	0.2435606346
65	0.2419390664
66	0.2400167231
67	0.2385928141
68	0.2353012053
69	0.2343246633
70	0.2306837904
71	0.2298157898
72	0.2286445409
73	0.227709036
74	0.2254873425
75	0.2234186202
76	0.2218686502
77	0.2193231444
78	0.2188822184
79	0.2177922343
80	0.2151120625
81	0.2138886736
82	0.2133061652
83	0.2099275897
84	0.2077663337
85	0.2064839058
86	0.2042205895
87	0.2034353874
88	0.2019777769
89	0.2006298192
90	0.2002202537
91	0.1989293048
92	0.1970056583
93	0.1958219353
94	0.1947503292
95	0.1943558825
96	0.1930164516
97	0.1914897545
98	0.1904544323
99	0.1891096379
