iter	Passed	Remaining
0	0	75
1	1	66
2	1	59
3	2	56
4	2	55
5	3	53
6	3	52
7	4	51
8	4	50
9	5	50
10	6	49
11	6	48
12	7	48
13	7	48
14	8	48
15	9	48
16	9	48
17	10	48
18	11	48
19	12	48
20	12	48
21	13	48
22	14	49
23	15	50
24	16	50
25	17	50
26	18	49
27	18	48
28	19	47
29	20	46
30	21	46
31	21	45
32	22	45
33	22	44
34	23	43
35	23	42
36	24	42
37	25	41
38	26	41
39	27	41
40	29	42
41	30	42
42	31	42
43	32	41
44	33	40
45	34	40
46	35	39
47	35	38
48	36	37
49	37	37
50	38	37
51	40	37
52	42	37
53	43	36
54	44	36
55	44	35
56	45	34
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	53	27
66	54	26
67	54	25
68	55	24
69	55	23
70	56	23
71	56	22
72	57	21
73	58	20
74	58	19
75	59	18
76	59	17
77	60	17
78	61	16
79	61	15
80	62	14
81	63	13
82	63	13
83	64	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	67	7
90	68	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	74	1
98	74	0
99	75	0
